Variable,Posición,Etiqueta
a0304d,81,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes?
a0304m,82,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes MESES?
a0304a,83,¿Hace cuánto tiempo fue la última ocasión en la que acudió con un profesional de la salud para tratar su diabetes AÑOS?
a0305,84,"En esa última ocasión, ¿en dónde se atendió?"
a0305esp,85,"En esa última ocasión, ¿en dónde se atendió? Especifique"
a0306a,86,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿revisó sus niveles de glucosa?"
a0306b,87,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿le tomó la tensión arterial?"
a0306c,88,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿lo(a) pesó?"
a0306d,89,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿le pidió quitarse el calzado y le revisó los pies?"
a0306e,90,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿le hizo sugerencias sobre su forma de alimentarse?"
a0306f,91,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿le hizo sugerencias sobre cómo aumentar su actividad física (caminar, correr, etcétera)?"
a0306g,92,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿lo invitó a participar en algún Grupo de ayuda mutua para el control de su diabetes?"
a0306h,93,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿le solicitó que acudiera a revisión de la vista?"
a0306i,94,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿le solicitó que acudiera a revisión con un dentista?"
a0306j,95,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿le solicitó exámenes de laboratorio en muestras de sangre?"
a0306k,96,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿le solicitó exámenes de laboratorio en muestras de orina?"
a0306l,97,"En esa última ocasión, en el lugar en donde lo(a) atendieron, alguna persona¿le dio explicaciones sobre los medicamentos que le recetó?"
a0307,98,¿Actualmente toma pastillas o le aplican insulina para controlar su azúcar?
a0308m,99,¿Cuánto tiempo tiene tomando pastillas para controlar su azúcar? meses
a0308a,100,¿Cuánto tiempo tiene tomando pastillas para controlar su azúcar?  años
a0309m,101,¿Hace cuánto tiempo inició el tratamiento con insulina? Meses
a0309a,102,¿Hace cuánto tiempo inició el tratamiento con insulina? Años
a0310,103,¿Se aplica insulina todos los días?
a0311,104,¿Cuántas veces al día se aplica insulina?
A0312A,105,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
A0312B,106,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
A0312C,107,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
A0312D,108,"Actualmente, ¿qué otro tratamiento lleva para controlar su azúcar?"
a0313,109,En los últimos seis meses ¿Ha suspendido algun(os) de los medicamentos más de una vez a la semana?
a0314,110,¿Cuál fue la causa de la suspensión?
A0315A,111,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315B,112,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315C,113,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315D,114,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315E,115,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315F,116,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315G,117,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315H,118,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315I,119,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315J,120,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315K,121,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315L,122,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315M,123,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315N,124,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315O,125,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315P,126,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315Q,127,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315R,128,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315S,129,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315T,130,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315U,131,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
A0315V,132,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año?"
a0315es,133,"Debido a la diabetes, ¿qué medidas preventivas ha seguido para evitar complicaciones en el último año? Especifique"
a0316a,134,¿Debido a la diabetes ha tenido úlceras en piernas o pies?
a0316b,135,¿Debido a la diabetes le han amputado alguna parte del cuerpo?
a0316c,136,¿Debido a la diabetes le ha disminuido la visión?
a0316d,137,¿Debido a la diabetes ha perdido la vista?
a0316e,138,¿Debido a la diabetes le han hecho diálisis?
a0316f,139,¿Debido a la diabetes ha sufrido de un infarto al corazón?
a0316g,140,¿Debido a la diabetes ha tenido un infarto cerebral?
a0316h,141,¿Debido a la diabetes ha tenido pie diabético?
a0316i,142,¿Debido a la diabetes sufrió de un coma diabético?
a0316j,143,"¿Debido a la diabetes se le ha bajado el azúcar hasta el punto de tener un episodio de aparición súbita de sudoración, confusión o pérdida de conocimiento, que requirió ayuda de una tercera persona para su resolución?"
nota019,144,NOTA019
nota020,145,NOTA020
a0401,146,¿Algún médico le ha dicho que tiene la presión alta?
a0402m,147,¿Hace cuánto tiempo le dijo su médico que tiene la presión alta? Meses
a0402a,148,¿Hace cuánto tiempo le dijo su médico que tiene la presión alta? Años
a0403,149,¿Estaba embarazada cuando le dijeron que su presión estaba alta?
a0404,150,¿Actualmente toma alguna medicina (pastillas) para controlar su presión alta?
a0405m,151,¿Cuánto tiempo tiene tomando este medicamento? Meses
a0405a,152,¿Cuánto tiempo tiene tomando este medicamento? Años
a0406,153,"En los últimos 12 meses, ¿cuántas veces acudió al médico para controlar su hipertensión (sin contar las visitas al servicio de urgencias)?"
a0407,154,¿En dónde se atiende principalmente para controlar su presión alta?
a0407esp,155,¿En dónde se atiende principalmente para controlar su presión alta? Especifique
A0408A,156,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
A0408B,157,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
A0408C,158,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
A0408D,159,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
A0408E,160,"Actualmente, ¿qué otro tratamiento lleva para controlar su presión alta?"
a0409,161,"En los últimos 12 meses, ¿cada cuándo le tomaron la presión?"
a0409a,162,¿Cuántas veces?
a04010a,163,¿Debido a la hipertensión ha sufrido daño en la retina?
a04010b,164,¿Debido a la hipertensión le han hecho diálisis?
a04010c,165,¿Debido a la hipertensión ha sufrido de un infarto al corazón?
a04010d,166,¿Debido a la hipertensión ha tenido un infarto o embolia cerebral?
a04010e,167,¿Debido a la hipertensión ha acudido a un servicio de urgencias en el último año?
a04010ev,168,¿Cuántas veces?
a04010f,169,¿Debido a la hipertensión ha estado hospitalizado por más de 24 horas en el último año?
a04010fv,170,¿Cuántas veces?
a04010fd,171,¿Cuántos días en total en el último año?
not0021,172,NOTA021
not0037,173,NOTA037
a0501,174,"¿Ha tenido alguna vez un dolor fuerte en el pecho, sudoración, con falta de aire o gran malestar que durara media hora o más?"
a0502a,175,¿Le ha dicho el médico que usted tiene (o tuvo) un infarto o ataque al corazón?
a0502b,176,"¿Le ha dicho el médico que usted tiene (o tuvo) angina de pecho (dolor o molestia en el pecho, que desaparece regularmente de forma espontánea con el reposo o con medicinas?"
a0502c,177,"¿Le ha dicho el médico que usted tiene (o tuvo) insuficiencia cardiaca (debilitamiento de la capacidad de bombeo del corazón, que provoca edema en pies, tobillos y piernas, cansancio y falta de aire)?"
a0503,178,¿Lo hospitalizaron para atender el infarto que presentó?
a0504,179,¿A qué edad tuvo el primer infarto?
a0505,180,¿Actualmente está tomando algún medicamento por el infarto?
a0506,181,"¿Le ha dicho su médico, si ha tenido una embolia o un infarto cerebral?"
a0507,182,¿Lo(a) hospitalizaron por esta razón?
nota022,183,NOTA022
nota023,184,NOTA023
a0601a,185,"¿Alguna vez un médico le ha dicho que padece de alguna enfermedad del riñón, como infección de vías urinarias en más de una ocasión?"
a0601b,186,"¿Alguna vez un médico le ha dicho que padece de alguna enfermedad del riñón, como cálculos renales?"
a0601c,187,"¿Alguna vez un médico le ha dicho que padece de alguna enfermedad del riñón, como insuficiencia renal o enfermedad renal crónica?"
a0602a,188,¿El tipo de tratamiento que tiene para su enfermedad renal es dieta sin sal?
a0602b,189,¿El tipo de tratamiento que tiene para su enfermedad renal es medicamentos?
a0602c,190,¿El tipo de tratamiento que tiene para su enfermedad renal es diálisis?
a0602d,191,¿El tipo de tratamiento que tiene para su enfermedad renal es hemodiálisis?
a0602e,192,¿El tipo de tratamiento que tiene para su enfermedad renal es medicina alternativa?
a0602f,193,¿El tipo de tratamiento que tiene para su enfermedad renal es Otro (especifica)
a0602esp,194,Especifique
a0602g,195,Ninguno
a0603,196,¿Le han medido alguna vez la concentración de colesterol y triglicéridos?
a0604,197,¿Algún médico le ha dicho que tiene el colesterol alto?
A0605A,198,Mencione las acciones que actualmente toma para el control del colesterol
A0605B,199,Mencione las acciones que actualmente toma para el control del colesterol
A0605C,200,Mencione las acciones que actualmente toma para el control del colesterol
A0605D,201,Mencione las acciones que actualmente toma para el control del colesterol
a0606,202,¿Algún médico le ha dicho que tiene los triglicéridos  altos?
A0607A,203,Mencione las acciones que actualmente toma para el control de los triglicéridos altos
A0607B,204,Mencione las acciones que actualmente toma para el control de los triglicéridos altos
A0607C,205,Mencione las acciones que actualmente toma para el control de los triglicéridos altos
A0607D,206,Mencione las acciones que actualmente toma para el control de los triglicéridos altos
A0608A,207,¿Toma alguno de los siguientes medicamentos para el control del colesterol y/o los triglicéridos?.
A0608B,208,¿Toma alguno de los siguientes medicamentos para el control del colesterol y/o los triglicéridos?.
A0608C,209,¿Toma alguno de los siguientes medicamentos para el control del colesterol y/o los triglicéridos?.
nota024,210,NOTA024
nota025,211,NOTA025
a07her,212,Tiene/Tuvo usted hermanos(as)
a0701p,213,¿Su PADRE tiene o tuvo diabetes o azúcar alta en la sangre?
a0702p,214,¿Su PADRE tiene o tuvo hipertensión o presión alta?
a0703p,215,¿Su PADRE  tuvo un infarto?
a0704p,216,¿A qué edad su PADRE tuvo su primer infarto?
a0705p,217,¿Su PADRE tuvo valores altos de colesterol y/o triglicéridos?
a0701m,218,¿Su MADRE tiene o tuvo diabetes o azúcar alta en la sangre?
a0702m,219,¿Su MADRE tiene o tuvo hipertensión o presión alta?
a0703m,220,¿Su MADRE  tuvo un infarto?
a0704m,221,¿A qué edad su MADRE tuvo su primer infarto?
a0705m,222,¿Su MADRE tuvo valores altos de colesterol y/o triglicéridos?
a0701h,223,¿Su HERMANO(A) tiene o tuvo diabetes o azúcar alta en la sangre?
a0702h,224,¿Su HERMANO(A) tiene o tuvo hipertensión o presión alta?
a0703h,225,¿Su HERMANO(A)  tuvo un infarto?
a0704h,226,¿A qué edad su HERMANO(A) tuvo su primer infarto?
a0705h,227,¿Su HERMANO(A) tuvo valores altos de colesterol y/o triglicéridos?
nota026,228,NOTA026
nota027,229,NOTA027
a0801,230,¿A qué edad tuvo su primera relación sexual?
a0802,231,¿Qué edad tenía su pareja en su primera relación sexual?
A0803A,232,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803B,233,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803C,234,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803D,235,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803E,236,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803F,237,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803G,238,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803H,239,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803I,240,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803J,241,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803K,242,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803L,243,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803M,244,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803N,245,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0803O,246,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
a0803esp,247,"La primera vez que tuvo relaciones sexuales, ¿qué hicieron o qué usaron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?  ESPECIFIQUE"
A0804A,248,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804B,249,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804C,250,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804D,251,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804E,252,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804F,253,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804G,254,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804H,255,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804I,256,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804J,257,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804K,258,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804L,259,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804M,260,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804N,261,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804O,262,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804P,263,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
A0804Q,264,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarazo o una infección de transmisión sexual?"
a0804esp,265,"En su última relación sexual, ¿Qué hicieron usted o su pareja para evitar un embarzo o una infección de transmisión sexual? ESPECIFIQUE"
a0805,266,¿Y además utilizaron condón masculino?
a0806,267,¿A qué edad tuvo su primera regla o menstruación?
a0807,268,¿Alguna vez ha estado embarazada?
a0808,269,¿Está actualmente embarazada?
a0809,270,¿Cuántos embarazos en total ha tenido?
a0810a,271,¿De estos embarazos cuántos han sido pérdidas o abortos?
a0810b,272,¿De estos embarazos cuántos han sido nacidos muertos?
a0810c,273,¿De estos embarazos cuántos han sido nacidos vivos?
a0810ad,274,¿Cuántos han fallecido Antes de cumplir un año de edad?
a0810ae,275,¿Cuántos han fallecido Después de cumplir un año de edad?
a0811d,276,"¿En qué día, mes y año  nació su último(a) hijo(a) nacido(a) vivo(a) y que sigue vivo(a) DIA?"
a0811m,277,"¿En qué día, mes y año  nació su último(a) hijo(a) nacido(a) vivo(a) y que sigue vivo(a) MES?"
a0811a,278,"¿En qué día, mes y año  nació su último(a) hijo(a) nacido(a) vivo(a) y que sigue vivo(a) AÑO?"
not028,279,NOTA028
a0812,280,En total ¿cuántas veces la revisaron durante su último embarazo?
a0813,281,¿En qué institución o lugar la revisaron la mayoría de las veces durante este embarazo?
a0813es,282,¿En qué institución o lugar la revisaron la mayoría de las veces durante este embarazo? Especifique
a0814,283,¿Cuántos meses de embarazo tenía cuando la revisaron por primera vez?
a0815a,284,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez la midieron?"
a0815b,285,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez la pesaron?"
a0815c,286,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le tomaron la presión arterial?"
a0815d,287,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le realizaron examen(es) general(es) de orina?"
a0815e,288,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le realizaron examen(es) de sangre?"
a0815f,289,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le midieron su nivel de azúcar en sangre?"
a0815g,290,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le realizaron la prueba de detección de sífilis (VRDL)?"
a0815h,291,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le realizaron la prueba para detectar Virus de Inmunodeficiencia Humana (VIH)?"
a0815i,292,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le hicieron un ultrasonido?"
a0815j,293,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez la vacunaron contra el tétanos?"
a0815k,294,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le mandaron ácido fólico?"
a0815l,295,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le mandaron vitaminas, hierro, o algún  suplemento alimenticio?"
a0815m,296,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le ofrecieron algún servicio de detección o atención para la salud mental (ansiedad, depresión)?"
a0815n,297,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le ofrecieron algún método anticonceptivo para cuando terminara su embarazo?"
a0815o,298,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le enseñaron o explicaron cómo dar a su bebé leche materna?"
a0815p,299,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le midierón la panza (fondo uterino)?"
a0816,300,¿En dónde la atendieron de su último parto?
a0816es,301,¿En dónde la atendieron de su último parto? Especifique
a0817,302,¿Su último parto fue?
a0818,303,"Inmediatamente después del nacimiento, ¿pusieron a su último(a) hijo(a) desnudo directamente sobre la piel desnuda de su pecho?"
a0819k,304,¿Cuánto pesó al nacer su último(a) hijo(a)?  Kg
a0819f,305,¿Cuánto pesó al nacer su último(a) hijo(a)?  ¿De dónde obtuvo la información?
a0820t,306,¿Cuántos meses amamantó a su último(a) hijo(a)? Tiempo
a0820p,307,¿Cuántos meses amamantó a su último(a) hijo(a)? Período
a0821a,308,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de hemorragia?
a0821b,309,"En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de preeclampsia, eclampsia? (es decir, la presión alta durante el embarazo o poco después del parto)"
a0821c,310,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de infecciones?
a0821d,311,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de trombosis o coágulos?
a0821e,312,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre nutrición?
a0821f,313,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre lactancia materna?
a0821g,314,"En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre higiene, sobre todo lavado de manos?"
a0821h,315,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre anticoncepción?
a0821i,316,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de la depresión post natal o post parto?
a0821j,317,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre la importancia de que el bebé duerma boca arriba?
a0822,318,"Después del nacimiento de su último(a) hijo(a), ¿le proporcionaron un método anticonceptivo?"
a0823,319,¿Qué método anticonceptivo le proporcionaron?
a0823es,320,¿Qué método anticonceptivo le proporcionaron? Especifique
a0824,321,"No quiero saber los resultados, pero ¿ le hiciero una prueba para detectar inmunodeficiencia humana (VIH)?"
a0825,322,"No quiero saber los resultados de la prueba, pero ¿los recibió?"
nota029,323,NOTA029
a0826,324,En los últimos 12 meses ¿Ha tomado ácido fólico?
nota030,325,NOTA030
nota031,326,NOTA031
a0901,327,"¿Me puede mostrar su Cartilla Nacional de Salud (Hombre o Mujer de 20 a 59 años), el documento probatorio o comprobante en el que le registran las vacunas que le han aplicado?"
a0902,328,¿Por qué no tiene la cartilla?
a0903,329,¿Por qué no tiene información registrada en su cartilla?
nota032,330,NOTA032
a0904,331,"Desde sus 20 años de edad, ¿le han aplicado la vacuna contra el Sarampión y la Rubéola (SR)? (para personas entre 20 a 39 años)"
a0905,332,¿Cuántas veces se la han aplicado?
