Variable,Posición,Etiqueta,Nivel de medición
H1213A,102,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213B,103,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213C,104,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213D,105,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213E1,106,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213F,107,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213G,108,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213H,109,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213I,110,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213J,111,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213K,112,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213L,113,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213M,114,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213N,115,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213O,116,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213P,117,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213Q,118,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213R,119,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213S,120,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
H1213T,121,H1213 Después de que lo(a) dieron de alta o un mes después de que iniciara su enfermedad ¿siguió presentando alguno de estos síntomas /secuelas?,Nominal
h1213e,122,H1213E ESPECIFIQUE,Nominal
h1215,123,H1215 ¿Por cuánto tiempo tuvo esos síntomas?,Escala
h1216,124,"H1216 ¿Estos síntomas le impiden o impidieron cuidarse? Por ejemplo, que no pudiera bañarse o vestirse sola(o)",Escala
h1602,125,H1602 ¿Le han aplicado la vacuna para COVID-19?,Escala
h16041d,126,H16041D ¿Cuándo se la pusieron? 1a dosis: DÍA,Escala
h16041m,127,H16041M ¿Cuándo se la pusieron? 1a dosis:  MES,Escala
h16041a,128,H16041A ¿Cuándo se la pusieron? 1a dosis:  AÑO,Escala
h16051,129,H16051 ¿Qué vacuna le pusieron? 1a dosis,Escala
h16042d,130,H16042D ¿Cuándo se la pusieron? 2a dosis: DÍA,Escala
h16042m,131,H16042M ¿Cuándo se la pusieron? 2a dosis:  MES,Escala
h16042a,132,H16042A ¿Cuándo se la pusieron? 2a dosis:  AÑO,Escala
h16052,133,H16052 ¿Qué vacuna le pusieron? 2a dosis,Escala
h16052e,134,H1605E ESPECIFIQUE,Nominal
h16043d,135,H16043D ¿Cuándo se la pusieron? 3a dosis:  DÍA,Escala
h16043m,136,H16043M ¿Cuándo se la pusieron? 3a dosis:   MES,Escala
h16043a,137,H16043A ¿Cuándo se la pusieron? 3a dosis:   AÑO,Escala
h16053,138,H16053 ¿Qué vacuna le pusieron? 3a dosis,Escala
h16053e,139,H1605E ESPECIFIQUE,Nominal
h16044d,140,H16044D ¿Cuándo se la pusieron? 4a dosis:  DÍA,Escala
h16044m,141,H16044M ¿Cuándo se la pusieron? 4a dosis:   MES,Escala
h16044a,142,H16044A ¿Cuándo se la pusieron? 4a dosis:   AÑO,Escala
h16051e,143,H1605E ESPECIFIQUE,Nominal
h16054,144,H16054 ¿Qué vacuna le pusieron? 4a dosis,Escala
h16054e,145,H1605E ESPECIFIQUE,Nominal
h1607,146,H1607 ¿Por qué no se vacunó?,Escala
h1607e,147,H1607E ESPECIFIQUE,Nominal
completa1,148,Resultado de Entrevista,Escala
region,149,Region o zona de trabajo,Escala
entidad,150,Entidad,Nominal
ponde_f,151,ponderador de integrantes de hogar,Escala
estrato,152,Estrato urbanidad/ruralidad,Nominal
est_sel,153, Estrato de seleccion,Escala
upm,154,Unidad primaria de muestreo,Nominal
derechohab,155,Derechohabiencia,Nominal
