Variable,Posición,Etiqueta
ADUL1A06,65,"ADUL1a06 Piensa en tu consumo de alcohol, ¿con qué frecuencia tomas una copa de ya sea vino, cerveza, whisky o cualquier otra bebida que contenga alcohol?"
ADUL1A06A,66,ADUL1a06a ¿Con que frecuencia tomas o has tomado cinco o más copas de cualquier bebida alcohólica en una sola ocasión?
ADUL1A06B,67,ADUL1a06b ¿Con que frecuencia tomas o has tomado cuatro o más copas de cualquier bebida alcohólica en una sola ocasión?
NOTA06,68,NOTA06 Sección 2. Ataque y violencia
ADUL201,69,"ADUL201 2.1  En los últimos 12 meses ¿Sufrió usted algún daño a su salud por robo, agresión o violencia?"
ADUL202A,70,ADUL202 2.2 ¿Qué fue lo que le pasó?
ADUL202B,71,ADUL202 2.2 ¿Qué fue lo que le pasó?
ADUL202C,72,ADUL202 2.2 ¿Qué fue lo que le pasó?
ADUL202D,73,ADUL202 2.2 ¿Qué fue lo que le pasó?
ADUL202E,74,ADUL202 2.2 ¿Qué fue lo que le pasó?
ADUL202F,75,ADUL202 2.2 ¿Qué fue lo que le pasó?
ADUL202ES,76,ADUL202ES Especifique
ADUL203,77,ADUL203 2.3 ¿Cuál fue el principal motivo?
ADUL203ES,78,ADUL203ES Especifique
ADUL204,79,ADUL204 2.4 ¿En qué lugar ocurrió la ataque o violencia?
ADUL204ES,80,ADUL204ES Especifique
ADUL205,81,ADUL205 2.5 ¿Quién te atendió cuando ocurrió el ataque  o violencia?
ADUL205ES,82,ADUL205ES Especifique
ADUL206,83,ADUL206 2.6 Cuando sufrió el ataque  o violencia ¿estaba usted bajo los efectos de ?
ADUL206ES,84,ADUL206ES Especifique
ADUL20601,85,"ADUL20601 Quien lo atacó, ¿estaba bajo los efectos del alcohol o drogas?"
ADUL207,86,ADUL207 2.7 ¿Qué problema de salud permanente le ocasionó el ataque o violencia?
ADUL207ES,87,ADUL207ES Especifique
ADUL208,88,ADUL208 2.8 ¿Alguna vez ha pensado en suicidarse?
ADUL209,89,"ADUL209 2.9 ¿Alguna vez a propósito se ha herido, cortado, intoxicado o hecho daño con el fin de quitarse la vida?"
ADUL210A,90,ADUL210 2.10 ¿Cómo lo hizo?
ADUL210B,91,ADUL210 2.10 ¿Cómo lo hizo?
ADUL210C,92,ADUL210 2.10 ¿Cómo lo hizo?
ADUL210ES,93,ADUL210ES Especifique
ADUL211,94,ADUL211  2.11  ¿Estuvo hospitalizado(a) o bajo tratamiento médico debido a las lesiones que se hizo?
NOTA07,95,NOTA07 Sección 3. Violencia durante el confinamiento. Para mujeres de 20 años o más.
ADUL301A,96,"ADUL301A 3.1a Durante el período de confinamiento (23 de marzo al 1 de junio) ¿Vivió hechos de violencia o agresiones por algún integrante de su hogar como Gritos, insultos o amenazas?"
ADUL302A,97,ADUL302A 3.2a Considera que estos hechos de violencia o agresiones entre los integrantes de su hogar aumentaron durante el confinamiento?
ADUL301B,98,"ADUL301B 3.1b Durante el período de confinamiento (23 de marzo al 1 de junio) ¿Vivió hechos de violencia o agresiones por algún integrante de su hogar como Empujones, jalones o golpes?"
ADUL302B,99,ADUL302B 3.2b Considera que estos hechos de violencia o agresiones entre los integrantes de su hogar aumentaron durante el confinamiento?
ADUL301C,100,ADUL301C 3.1c Durante el período de confinamiento (23 de marzo al 1 de junio) ¿Vivió hechos de violencia o agresiones por algún integrante de su hogar como Actos de carácter sexual o violaciones?
ADUL302C,101,ADUL302C 3.2c Considera que estos hechos de violencia o agresiones entre los integrantes de su hogar aumentaron durante el confinamiento?
ADUL301D,102,ADUL301D 3.1d Durante el período de confinamiento (23 de marzo al 1 de junio) ¿Vivió hechos de violencia o agresiones por algún integrante de su hogar como Agresión económica?
ADUL302D,103,ADUL302D 3.2d Considera que estos hechos de violencia o agresiones entre los integrantes de su hogar aumentaron durante el confinamiento?
COMENTARIO,104,¿Algún comentario de la entrevista?
TIEMPO,105,Duración de la Entrevista
HORA_FIN,106,Hora de termino
FECHA_FIN,107,Fecha de Termino
COMPLETA,108,Resultado de Entrevista
OTROENT,109,Especifique otro resultado de entrevista
ADUL_COMP,110,Entrevista de Adulto Completa
ponde_g,111,Ponderador
rural_20,112,Estrato de urbanidad Censo 2020
ponde_g20,113,ponderador actualizado a Censo 2020
area_20,114,Estrato de urbanidad Censo 2020 recodificado
